kingdom,scientificName,class,order,family,genus,species,phylum,domain
,Corynebacterium falsenii,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cfn,,
,Corynebacterium casei,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),ccg,,
,Corynebacterium vitaeruminis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cvt,,
,Corynebacterium glyciniphilum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cgy,,
,Corynebacterium atypicum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cax,,
,Corynebacterium imitans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cii,,
,Corynebacterium ureicelerivorans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cuv,,
,Corynebacterium sp. ATCC 6931,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),coa,,
,Corynebacterium doosanense,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cdo,,
,Corynebacterium humireducens,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),chm,,
,Corynebacterium singulare,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),csx,,
,Corynebacterium marinum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cmq,,
,Corynebacterium kutscheri,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cku,,
,Corynebacterium camporealensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),ccj,,
,Corynebacterium mustelae,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cmv,,
,Corynebacterium epidermidicanis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cei,,
,Corynebacterium testudinoris,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cted,,
,Corynebacterium uterequi,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cut,,
,Corynebacterium lactis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),clw,,
,Corynebacterium deserti,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),cdx,,
,Corynebacterium simulans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),csp,,
,Corynebacterium stationis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),csta,,
,Brevibacterium flavum ZL-1,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Corynebacterium (85),bfv,,
,Nocardia farcinica IFM 10152,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nocardia (7),nfa,,
,Nocardia farcinica NCTC11134,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nocardia (7),nfr,,
,Nocardia cyriacigeorgica,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nocardia (7),ncy,,
,Nocardia brasiliensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nocardia (7),nbr,,
,Nocardia nova,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nocardia (7),nno,,
,Nocardia soli,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nocardia (7),nsl,,
,Nocardia seriolae,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nocardia (7),nsr,,
,Rhodococcus jostii,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodococcus (11),rha,,
,Rhodococcus erythropolis PR4,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodococcus (11),rer,,
,Rhodococcus erythropolis CCM2595,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodococcus (11),rey,,
,Rhodococcus erythropolis BG43,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodococcus (11),reb,,
,Rhodococcus opacus B4,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodococcus (11),rop,,
,Rhodococcus opacus PD630,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodococcus (11),roa,,
,Rhodococcus equi,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodococcus (11),req,,
,Rhodococcus pyridinivorans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodococcus (11),rpy,,
,Rhodococcus sp. B7740,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodococcus (11),rhb,,
,Rhodococcus aetherivorans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodococcus (11),rav,,
,Rhodococcus fascians,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodococcus (11),rfa,,
,Gordonia bronchialis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Gordonia (5),gbr,,
,Gordonia polyisoprenivorans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Gordonia (5),gpo,,
,Gordonia sp. KTR9,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Gordonia (5),gor,,
,Gordonia sp. QH-11,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Gordonia (5),goq,,
,Gordonia terrae,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Gordonia (5),gta,,
,Tsukamurella paurometabola,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Tsukamurella (1),tpr,,
,Segniliparus rotundus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Segniliparus (1),srt,,
,Dietzia timorensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Dietzia (1),dtm,,
,Lawsonella clevelandensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Lawsonella (1),cbq,,
,Streptomyces coelicolor,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sco,,
,Streptomyces avermitilis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sma,,
,Streptomyces griseus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sgr,,
,Streptomyces globisporus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sgb,,
,Streptomyces scabiei,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),scb,,
,Streptomyces sp. SirexAA-E,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),ssx,,
,Streptomyces violaceusniger,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),svl,,
,Streptomyces cattleya NRRL 8057 = DSM 46488,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sct,,
,Streptomyces cattleya NRRL 8057 = DSM 46488,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),scy,,
,Streptomyces pratensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sfa,,
,Streptomyces bingchenggensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sbh,,
,Streptomyces hygroscopicus subsp. jinggangensis 5008,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),shy,,
,Streptomyces hygroscopicus subsp. jinggangensis TL01,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sho,,
,Streptomyces venezuelae,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sve,,
,Streptomyces davawensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sdv,,
,Streptomyces albus J1074,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),salb,,
,Streptomyces albus DSM 41398,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sals,,
,Streptomyces sp. PAMC 26508,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),strp,,
,Streptomyces fulvissimus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sfi,,
,Streptomyces collinus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sci,,
,Streptomyces rapamycinicus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),src,,
,Streptomyces albulus NK660,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),salu,,
,Streptomyces albulus ZPM,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sall,,
,Streptomyces lividans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),slv,,
,Streptomyces glaucescens,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sgu,,
,Streptomyces vietnamensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),svt,,
,Streptomyces sp. 769,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),stre,,
,Streptomyces cyaneogriseus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),scw,,
,Streptomyces sp. A02,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sld,,
,Streptomyces xiamenensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sxi,,
,Streptomyces sp. Mg1,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),strm,,
,Streptomyces sp. CNQ-509,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),strc,,
,Streptomyces ambofaciens,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),samb,,
,Streptomyces pristinaespiralis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),spri,,
,Streptomyces sp. CFMR 7,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),scz,,
,Streptomyces sp. CdTB01,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),scx,,
,Streptomyces reticuli,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),srw,,
,Streptomyces sp. 4F,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),strf,,
,Streptomyces leeuwenhoekii,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sle,,
,Streptomyces rubrolavendulae,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),srn,,
,Streptomyces parvulus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),spav,,
,Streptomyces lydicus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),slc,,
,Streptomyces sp. SAT1,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),strt,,
,Streptomyces clavuligerus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sclf,,
,Streptomyces griseochromogenes,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sgs,,
,Streptomyces sp. S10(2016),Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),stsi,,
,Streptomyces lincolnensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptomyces (47),sls,,
,Kitasatospora setae,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Kitasatospora (1),ksk,,
,Tropheryma whipplei Twist,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Tropheryma (2),twh,,
,Tropheryma whipplei TW08/27,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Tropheryma (2),tws,,
,Leifsonia xyli subsp. xyli CTCB07,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Leifsonia (2),lxx,,
,Leifsonia xyli subsp. cynodontis DSM 46306,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Leifsonia (2),lxy,,
,Clavibacter michiganensis subsp. michiganensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Clavibacter (4),cmi,,
,Clavibacter michiganensis subsp. sepedonicus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Clavibacter (4),cms,,
,Clavibacter michiganensis subsp. nebraskensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Clavibacter (4),cmc,,
,Clavibacter michiganensis subsp. insidiosus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Clavibacter (4),cmh,,
,Microbacterium testaceum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Microbacterium (7),mts,,
,Microbacterium sp. CGR1,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Microbacterium (7),mim,,
,Microbacterium sp. No. 7,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Microbacterium (7),mio,,
,Microbacterium sp. XT11,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Microbacterium (7),mix,,
,Microbacterium sp. PAMC 28756,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Microbacterium (7),mip,,
,Microbacterium chocolatum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Microbacterium (7),mcw,,
,Microbacterium paludicola,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Microbacterium (7),mpal,,
,Candidatus Rhodoluna lacicola,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodoluna (2),rla,,
,Candidatus Rhodoluna planktonica,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rhodoluna (2),rpla,,
,Rathayibacter toxicus 70137,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rathayibacter (3),rtx,,
,Rathayibacter toxicus WAC3373,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rathayibacter (3),rtc,,
,Rathayibacter tritici,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rathayibacter (3),rtn,,
,Curtobacterium sp. MR_MD2014,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Curtobacterium (2),cum,,
,Curtobacterium sp. BH-2-1-1,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Curtobacterium (2),cub,,
,Microterricola viridarii,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Microterricola (1),mvd,,
,Frondihabitans sp. PAMC28766,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Frondihabitans (1),frp,,
,Agromyces sp. AR33,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Agromyces (1),agy,,
,Cryobacterium arcticum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cryobacterium (1),cart,,
,Cnuibacter physcomitrellae,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cnuibacter (1),cphy,,
,Arthrobacter sp. FB24,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arthrobacter (11),art,,
,Arthrobacter sp. Rue61a,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arthrobacter (11),arr,,
,Arthrobacter sp. PAMC 25486,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arthrobacter (11),arm,,
,Arthrobacter sp. IHBB 11108,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arthrobacter (11),ari,,
,Arthrobacter sp. LS16,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arthrobacter (11),arl,,
,Arthrobacter sp. ERGS1:01,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arthrobacter (11),are,,
,Arthrobacter alpinus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arthrobacter (11),aaq,,
,Arthrobacter sp. Hiyo8,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arthrobacter (11),arh,,
,Arthrobacter sp. YC-RL1,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arthrobacter (11),ary,,
,Arthrobacter sp. A3,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arthrobacter (11),arw,,
,Arthrobacter sp. ATCC 21022,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arthrobacter (11),arz,,
,Paenarthrobacter aurescens,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Paenarthrobacter (1),aau,,
,Pseudarthrobacter chlorophenolicus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Pseudarthrobacter (3),ach,,
,Pseudarthrobacter phenanthrenivorans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Pseudarthrobacter (3),apn,,
,Pseudarthrobacter sulfonivorans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Pseudarthrobacter (3),psul,,
,Glutamicibacter arilaitensis Re117,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Glutamicibacter (2),aai,,
,Glutamicibacter arilaitensis KLBMP5180,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Glutamicibacter (2),gar,,
,Renibacterium salmoninarum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Renibacterium (1),rsa,,
,Kocuria rhizophila,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Kocuria (3),krh,,
,Kocuria palustris,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Kocuria (3),kpl,,
,Kocuria flava,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Kocuria (3),kfv,,
,Micrococcus luteus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Micrococcus (1),mlu,,
,Rothia mucilaginosa,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rothia (2),rmu,,
,Rothia dentocariosa,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Rothia (2),rdn,,
,Sinomonas atrocyanea,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Sinomonas (1),satk,,
,Neomicrococcus aestuarii,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Neomicrococcus (1),nae,,
,Beutenbergia cavernae,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Beutenbergia (1),bcv,,
,Brachybacterium faecium,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Brachybacterium (2),bfa,,
,Brachybacterium sp. P6-10-X1,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Brachybacterium (2),brx,,
,Dermabacter vaginalis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Dermabacter (1),dva,,
,Jonesia denitrificans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Jonesia (1),jde,,
,Kytococcus sedentarius,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Kytococcus (1),kse,,
,Dermacoccus nishinomiyaensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Dermacoccus (1),dni,,
,Luteipulveratus mongoliensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Luteipulveratus (1),lmoi,,
,Xylanimonas cellulosilytica,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Xylanimonas (1),xce,,
,Isoptericola variabilis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Isoptericola (2),iva,,
,Isoptericola dokdonensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Isoptericola (2),ido,,
,Sanguibacter keddieii,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Sanguibacter (1),ske,,
,Cellulomonas flavigena,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cellulomonas (3),cfl,,
,Cellulomonas fimi,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cellulomonas (3),cfi,,
,Cellulomonas gilvus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cellulomonas (3),cga,,
,Intrasporangium calvum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Intrasporangium (1),ica,,
,Arsenicicoccus sp. oral taxon 190,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Arsenicicoccus (1),ars,,
,Serinicoccus sp. JLT9,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Serinicoccus (1),serj,,
,Janibacter terrae,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Janibacter (1),jte,,
,Brevibacterium linens BS258,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Brevibacterium (2),bly,,
,Brevibacterium linens SMQ-1335,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Brevibacterium (2),blin,,
,Propionibacterium acnes KPA171202,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),pac,,
,Propionibacterium acnes SK137,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),pak,,
,Propionibacterium acnes TypeIA2 P.acn17,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),pav,,
,Propionibacterium acnes TypeIA2 P.acn31,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),pax,,
,Propionibacterium acnes TypeIA2 P.acn33,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),paz,,
,Propionibacterium acnes 266,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),paw,,
,Propionibacterium acnes ATCC 11828,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),pad,,
,Propionibacterium acnes 6609,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),pcn,,
,Propionibacterium acnes C1,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),pacc,,
,Propionibacterium acnes HL096PA1,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),pach,,
,Propionibacterium acnes hdn-1,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),pacn,,
,Cutibacterium acnes,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),cacn,,
,Cutibacterium avidum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Cutibacterium (13),pra,,
,Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Propionibacterium (3),pfr,,
,Propionibacterium freudenreichii subsp. freudenreichii DSM 20271,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Propionibacterium (3),pfre,,
,Propionibacterium sp. oral taxon 193,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Propionibacterium (3),prl,,
,Pseudopropionibacterium propionicum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Pseudopropionibacterium (1),ppc,,
,Acidipropionibacterium acidipropionici ATCC 4875,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Acidipropionibacterium (2),pbo,,
,Acidipropionibacterium acidipropionici CGMCC 1.2230,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Acidipropionibacterium (2),aaci,,
,Microlunatus phosphovorus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Microlunatus (1),mph,,
,Tessaracoccus flavus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Tessaracoccus (4),tfl,,
,Tessaracoccus flavescens,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Tessaracoccus (4),tfa,,
,Tessaracoccus sp. NSG39,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Tessaracoccus (4),tes,,
,Tessaracoccus sp. T2.5-30,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Tessaracoccus (4),tez,,
,Nocardioides sp. JS614,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nocardioides (2),nca,,
,Nocardioides dokdonensis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nocardioides (2),ndk,,
,Kribbella flavida,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Kribbella (1),kfl,,
,Pimelobacter simplex,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Pimelobacter (1),psim,,
,Aeromicrobium erythreum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Aeromicrobium (1),aer,,
,Thermobifida fusca,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Thermobifida (1),tfu,,
,Nocardiopsis dassonvillei,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nocardiopsis (2),nda,,
,Nocardiopsis alba,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nocardiopsis (2),nal,,
,Thermomonospora curvata,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Thermomonospora (1),tcu,,
,Streptosporangium roseum,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Streptosporangium (1),sro,,
,Nonomuraea sp. ATCC 55076,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nonomuraea (1),noa,,
,Frankia sp. CcI3,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Frankia (5),fra,,
,Frankia sp. EAN1pec,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Frankia (5),fre,,
,Frankia sp. EuI1c,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Frankia (5),fri,,
,Frankia alni,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Frankia (5),fal,,
,Frankia symbiont,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Frankia (5),fsy,,
,Acidothermus cellulolyticus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Acidothermus (1),ace,,
,Nakamurella multipartita,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Nakamurella (1),nml,,
,Geodermatophilus obscurus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Geodermatophilus (1),gob,,
,Blastococcus saxobsidens,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Blastococcus (1),bsd,,
,Modestobacter marinus,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Modestobacter (1),mmar,,
,Kineococcus radiotolerans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Kineococcus (1),kra,,
,Saccharopolyspora erythraea,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Saccharopolyspora (1),sen,,
,Saccharomonospora viridis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Saccharomonospora (1),svi,,
,Amycolatopsis mediterranei U32,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Amycolatopsis (8),amd,,
,Amycolatopsis mediterranei S699,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Amycolatopsis (8),amn,,
,Amycolatopsis mediterranei S699,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Amycolatopsis (8),amm,,
,Amycolatopsis mediterranei RB,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Amycolatopsis (8),amz,,
,Amycolatopsis orientalis,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Amycolatopsis (8),aoi,,
,Amycolatopsis japonica,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Amycolatopsis (8),aja,,
,Amycolatopsis methanolica,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Amycolatopsis (8),amq,,
,Amycolatopsis lurida,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Amycolatopsis (8),alu,,
,Pseudonocardia dioxanivorans,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Pseudonocardia (7),pdx,,
,Pseudonocardia sp. AL041005-10,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Pseudonocardia (7),psea,,
,Pseudonocardia sp. EC080625-04,Prokaryotes (4421),Bacteria (4172),Actinobacteria (505),Pseudonocardia (7),psee,,
