#assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,asm_submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id
GCA_000023865.1,PRJNA20835,SAMN02598440,na,reference genome,471857,1852,Saccharomonospora viridis DSM 43017,strain=DSM 43017,na,latest,Complete Genome,Major,Full,2009-08-26,ASM2386v1,US DOE Joint Genome Institute (JGI-PGF),GCF_000023865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/865/GCA_000023865.1_ASM2386v1,na,assembly from type material,na,haploid,bacteria,4308349,4308349,67.500000,1,1,1,US DOE Joint Genome Institute (JGI-PGF),Annotation submitted by US DOE Joint Genome Institute (JGI-PGF),2014-01-28,3964,3828,58,21304650
GCA_000062885.1,PRJEA18489,SAMEA2272514,na,reference genome,405948,1836,Saccharopolyspora erythraea NRRL 2338,strain=NRRL 2338,na,latest,Complete Genome,Major,Full,2007-03-21,ASM6288v1,"Department of Biochemistry, University of Cambridge",GCF_000062885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/062/885/GCA_000062885.1_ASM6288v1,na,assembly from type material,na,haploid,bacteria,8212805,8212805,71.000000,1,1,1,"Department of Biochemistry, University of Cambridge","Annotation submitted by Department of Biochemistry, University of Cambridge",2015-02-28,7264,7197,66,17369815
GCA_000171635.1,PRJNA17885,SAMN02470651,ABFV00000000.1,na,405948,1836,Saccharopolyspora erythraea NRRL 2338,strain=NRRL 2338,na,latest,Contig,Major,Full,2009-09-04,ASM17163v1,Istituto Tecnologie Biomediche -National Research Council,GCF_000171635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/171/635/GCA_000171635.1_ASM17163v1,na,assembly from type material,na,haploid,bacteria,8079083,8079083,71.000000,0,241,241,na,na,,0,0,0,na
GCA_002564065.1,PRJNA323074,SAMN05192572,PDBV00000000.1,na,405948,1836,Saccharopolyspora erythraea NRRL 2338,strain=DSM 40517,na,latest,Contig,Major,Full,2017-10-17,ASM256406v1,DOE Joint Genome Institute,GCF_002564065.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/564/065/GCA_002564065.1_ASM256406v1,na,assembly from type material,na,haploid,bacteria,8230103,8230103,71.000000,0,1,1,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2017-10-17,7409,7069,76,na
GCA_000015245.1,PRJNA13385,SAMN02598298,na,reference genome,326297,60478,Shewanella amazonensis SB2B,strain=SB2B,na,latest,Complete Genome,Major,Full,2006-12-21,ASM1524v1,DOE Joint Genome Institute,GCF_000015245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/245/GCA_000015245.1_ASM1524v1,na,assembly from type material,na,haploid,bacteria,4306142,4306142,53.500000,1,1,1,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2014-01-28,3785,3645,130,na
GCA_000015845.1,PRJNA13386,SAMN02598299,na,na,325240,62322,Shewanella baltica OS155,strain=OS155,na,latest,Complete Genome,Major,Full,2007-02-20,ASM1584v1,US DOE Joint Genome Institute,GCF_000015845.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/845/GCA_000015845.1_ASM1584v1,na,na,na,haploid,bacteria,5342896,5342896,46.000000,5,5,5,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2021-10-26,4711,4489,141,27777983
GCA_000013765.1,PRJNA13390,SAMN02598300,na,reference genome,318161,192073,Shewanella denitrificans OS217,strain=OS217,na,latest,Complete Genome,Major,Full,2006-04-10,ASM1376v1,DOE Joint Genome Institute,GCF_000013765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/765/GCA_000013765.1_ASM1376v1,na,assembly from type material,na,haploid,bacteria,4545906,4545906,45.000000,1,1,1,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2014-01-28,3905,3754,127,na
GCA_000014705.1,PRJNA13391,SAMN02598301,na,reference genome,318167,56812,Shewanella frigidimarina NCIMB 400,strain=NCIMB 400,na,latest,Complete Genome,Major,Full,2006-09-14,ASM1470v1,DOE Joint Genome Institute,GCF_000014705.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/705/GCA_000014705.1_ASM1470v1,na,na,na,haploid,bacteria,4845257,4845257,41.500000,1,1,1,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2019-09-06,4199,4029,133,na
GCA_000018285.1,PRJNA17415,SAMN02598386,na,reference genome,398579,70864,Shewanella pealeana ATCC 700345,strain=ATCC 700345,na,latest,Complete Genome,Major,Full,2007-10-04,ASM1828v1,US DOE Joint Genome Institute,GCF_000018285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/285/GCA_000018285.1_ASM1828v1,na,assembly from type material,na,haploid,bacteria,5174581,5174581,44.500000,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2019-09-10,4438,4241,180,na
GCA_000014885.1,PRJNA17675,SAMN02603456,na,reference genome,225849,404011,Shewanella piezotolerans WP3,strain=WP3,na,latest,Complete Genome,Major,Full,2008-11-13,ASM1488v1,James D. Watson Institute of Genome Sciences,GCF_000014885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/885/GCA_000014885.1_ASM1488v1,na,assembly from type material,na,haploid,bacteria,5396476,5396476,43.500000,1,1,1,James D. Watson Institute of Genome Sciences,Annotation submitted by James D. Watson Institute of Genome Sciences,2014-01-31,5047,4933,114,18398463
GCA_000019525.1,PRJNA17455,SAMN02598391,na,reference genome,392500,60961,Shewanella woodyi ATCC 51908,strain=ATCC 51908,na,latest,Complete Genome,Major,Full,2008-03-13,ASM1952v1,US DOE Joint Genome Institute,GCF_000019525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/525/GCA_000019525.1_ASM1952v1,na,assembly from type material,na,haploid,bacteria,5935403,5935403,43.500000,1,1,1,US DOE Joint Genome Institute,Annotation submitted by US DOE Joint Genome Institute,2019-09-10,5096,4880,164,na
GCA_000006965.1,PRJNA19,SAMEA3283068,na,na,266834,382,Sinorhizobium meliloti 1021,strain=1021,na,latest,Complete Genome,Major,Full,2003-05-06,ASM696v1,MELILO,GCF_000006965.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/965/GCA_000006965.1_ASM696v1,na,na,na,haploid,bacteria,6691694,6691694,62.000000,3,3,3,MELILO,Annotation submitted by MELILO,2016-07-25,6528,6233,71,11481430;11481431;11481432
GCA_000013985.1,PRJNA13907,SAMN02598319,na,reference genome,317655,117207,Sphingopyxis alaskensis RB2256,strain=RB2256,na,latest,Complete Genome,Major,Full,2006-05-18,ASM1398v1,DOE Joint Genome Institute,GCF_000013985.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/985/GCA_000013985.1_ASM1398v1,na,assembly from type material,na,haploid,bacteria,3373713,3373713,65.500000,2,2,2,DOE Joint Genome Institute,Annotation submitted by DOE Joint Genome Institute,2019-09-27,3260,3195,52,19805210
GCA_000009645.1,PRJNA264,SAMD00061099,na,na,158879,1280,Staphylococcus aureus subsp. aureus N315,strain=N315,na,latest,Complete Genome,Major,Full,2004-05-11,ASM964v1,Juntendo Univ.,GCF_000009645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/645/GCA_000009645.1_ASM964v1,na,na,na,haploid,bacteria,2839469,2839469,33.000000,2,2,2,Juntendo Univ.,Annotation submitted by Juntendo Univ.,2016-10-07,2648,2569,78,11418146
GCA_000174135.1,PRJNA31013,SAMN00000713,ACFR00000000.1,na,553212,29388,Staphylococcus capitis SK14,strain=SK14,na,latest,Contig,Major,Full,2009-02-03,ASM17413v1,J. Craig Venter Institute,GCF_000174135.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/135/GCA_000174135.1_ASM17413v1,na,na,na,haploid,bacteria,2435835,2435835,33.000000,0,32,32,J. Craig Venter Institute,Annotation submitted by J. Craig Venter Institute,2013-06-14,2406,2230,65,na
GCA_000009405.1,PRJEA34811,SAMEA2272563,na,na,396513,1281,Staphylococcus carnosus subsp. carnosus TM300,strain=TM300,na,latest,Complete Genome,Major,Full,2009-02-03,ASM940v1,Competence Network PathoGenoMik,GCF_000009405.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/405/GCA_000009405.1_ASM940v1,na,na,na,haploid,bacteria,2566424,2566424,34.500000,1,1,1,Competence Network PathoGenoMik,Annotation submitted by Competence Network PathoGenoMik,2015-02-28,2537,2460,76,19060169
GCA_000007645.1,PRJNA279,SAMN02603126,na,na,176280,1282,Staphylococcus epidermidis ATCC 12228,strain=ATCC 12228,na,latest,Complete Genome,Major,Full,2002-12-20,ASM764v1,"Chinese National HGC, Shanghai",GCF_000007645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/645/GCA_000007645.1_ASM764v1,na,na,na,haploid,bacteria,2564615,2564615,32.000000,7,7,7,"Chinese National HGC, Shanghai","Annotation submitted by Chinese National HGC, Shanghai",2016-07-24,2561,2485,74,12950922
GCA_007666585.1,PRJNA543692,SAMN11792687,VDPK00000000.1,na,176280,1282,Staphylococcus epidermidis ATCC 12228,strain=DE0527,na,latest,Scaffold,Major,Full,2019-07-30,ASM766658v1,BGI,GCF_007666585.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/666/585/GCA_007666585.1_ASM766658v1,na,na,na,haploid,bacteria,2474218,2473451,32.000000,0,63,71,na,na,,0,0,0,na
GCA_008868245.1,PRJNA573690,SAMN12822027,WBME00000000.1,na,176280,1282,Staphylococcus epidermidis ATCC 12228,strain=ATCC 12228,na,latest,Contig,Major,Full,2019-10-07,ASM886824v1,"Signature Science, LLC",GCF_008868245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/868/245/GCA_008868245.1_ASM886824v1,na,na,na,haploid,bacteria,2527849,2527849,32.000000,0,139,139,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019-10-02,2538,2439,52,na
GCA_000009865.1,PRJNA12508,SAMD00061066,na,na,279808,1283,Staphylococcus haemolyticus JCSC1435,strain=JCSC1435,na,latest,Complete Genome,Major,Full,2005-06-30,ASM986v1,NITE,GCF_000009865.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/865/GCA_000009865.1_ASM986v1,na,na,na,haploid,bacteria,2697861,2697861,33.000000,4,4,4,NITE,Annotation submitted by NITE,2016-10-07,2773,2694,76,16237012
GCA_000072485.1,PRJNA30351,SAMEA1705934,na,na,522373,40324,Stenotrophomonas maltophilia K279a,strain=K279a,na,latest,Complete Genome,Major,Full,2008-06-10,ASM7248v1,Wellcome Trust Sanger Institute,GCF_000072485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/072/485/GCA_000072485.1_ASM7248v1,na,na,na,haploid,bacteria,4851126,4851126,66.500000,1,1,1,Wellcome Trust Sanger Institute,Annotation submitted by Wellcome Trust Sanger Institute,2015-02-06,4443,4386,0,18419807
GCA_000010705.1,PRJDA27849,SAMD00060937,na,na,486410,1334,Streptococcus dysgalactiae subsp. equisimilis GGS_124,strain=GGS_124,na,latest,Complete Genome,Major,Full,2009-06-30,ASM1070v1,"Research Institute, International Medical Center of Japan",GCF_000010705.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/705/GCA_000010705.1_ASM1070v1,na,na,na,haploid,bacteria,2106340,2106340,39.500000,1,1,1,"Research Institute, International Medical Center of Japan","Annotation submitted by Research Institute, International Medical Center of Japan",2017-05-09,2176,2097,72,21223537
GCA_000020765.1,PRJNA30781,SAMN02603943,na,na,552526,1336,Streptococcus equi subsp. zooepidemicus MGCS10565,strain=MGCS10565; ATCC BAA1716,na,latest,Complete Genome,Major,Full,2008-08-11,ASM2076v1,The Methodist Hospital Research Institute,GCF_000020765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/765/GCA_000020765.1_ASM2076v1,na,na,na,haploid,bacteria,2024171,2024171,42.000000,1,1,1,The Methodist Hospital Research Institute,Annotation submitted by The Methodist Hospital Research Institute,2017-03-17,2001,1893,73,18716664
GCA_000027185.1,PRJEA34729,SAMEA2272396,na,na,637909,315405,Streptococcus gallolyticus UCN34,strain=UCN34,na,latest,Complete Genome,Major,Full,2010-02-11,ASM2718v1,Institut Pasteur,GCF_000027185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/185/GCA_000027185.1_ASM2718v1,na,na,na,haploid,bacteria,2350911,2350911,37.500000,1,1,1,Institut Pasteur,Annotation submitted by Institut Pasteur,2015-03-01,2350,2224,89,20139183
GCA_000017005.1,PRJNA66,SAMN02603977,na,na,467705,1302,Streptococcus gordonii str. Challis substr. CH1,strain=Challis substr. CH1,na,latest,Complete Genome,Major,Full,2007-09-11,ASM1700v1,TIGR,GCF_000017005.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/005/GCA_000017005.1_ASM1700v1,na,na,na,haploid,bacteria,2196662,2196662,40.500000,1,1,1,TIGR,Annotation submitted by TIGR,2014-01-31,2150,2051,73,17720781
GCA_000027165.1,PRJNA16302,SAMEA3138244,na,na,365659,28037,Streptococcus mitis B6,strain=B6,na,latest,Complete Genome,Major,Full,2010-02-16,ASM2716v1,"Department of Microbiology, University of Kaiserslautern",GCF_000027165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/165/GCA_000027165.1_ASM2716v1,na,na,na,haploid,bacteria,2146611,2146611,40.000000,1,1,1,"Department of Microbiology, University of Kaiserslautern","Annotation submitted by Department of Microbiology, University of Kaiserslautern",2015-03-01,2118,2006,41,20195536
GCA_000007465.2,PRJNA333,SAMN02604090,na,na,210007,1309,Streptococcus mutans UA159,strain=UA159,na,latest,Complete Genome,Major,Full,2011-09-01,ASM746v2,Univ. Oklahoma,GCF_000007465.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/465/GCA_000007465.2_ASM746v2,na,na,na,haploid,bacteria,2032925,2032925,37.000000,1,1,1,Univ. Oklahoma,Annotation submitted by Univ. Oklahoma,2014-01-31,2044,1962,79,12397186
GCA_000006885.1,PRJNA277,SAMN02604002,na,na,170187,1313,Streptococcus pneumoniae TIGR4,strain=TIGR4; ATCC BAA-334,na,latest,Complete Genome,Major,Full,2008-07-03,ASM688v1,TIGR,GCF_000006885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/885/GCA_000006885.1_ASM688v1,na,na,na,haploid,bacteria,2160842,2160842,39.500000,1,1,1,TIGR,Annotation submitted by TIGR,2014-01-31,2292,2125,58,11463916
GCA_000167615.1,PRJNA13923,SAMN02363423,AAGY00000000.2,na,170187,1313,Streptococcus pneumoniae TIGR4,strain=TIGR4,na,latest,Contig,Major,Full,2006-07-25,ASM16761v1,"454 Life Sciences Corporation, USA, Branford",GCF_000167615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/167/615/GCA_000167615.1_ASM16761v1,na,na,na,haploid,bacteria,2016795,2016795,39.500000,0,218,218,na,na,,0,0,0,16056220
GCA_000269665.1,PRJNA76613,SAMN00103527,AKBW00000000.1,na,170187,1313,Streptococcus pneumoniae TIGR4,strain=TIGR4,na,latest,Contig,Major,Full,2012-06-15,PB_Stre_pneu_Tigr4_V1,Broad Institute,GCF_000269665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/665/GCA_000269665.1_PB_Stre_pneu_Tigr4_V1,RefSeq annotation failed,na,na,haploid,bacteria,2162245,2162245,39.500000,0,1,1,na,na,,0,0,0,22829535
GCA_000273445.1,PRJNA76613,SAMN02597080,AKVY00000000.1,na,170187,1313,Streptococcus pneumoniae TIGR4,strain=TIGR4,na,latest,Complete Genome,Major,Full,2012-06-25,Stre_pneu_Tigr4_V1,Broad Institute,GCF_000273445.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/273/445/GCA_000273445.1_Stre_pneu_Tigr4_V1,na,na,na,haploid,bacteria,2163340,2163340,39.500000,1,1,1,na,na,,0,0,0,22829535
GCA_024089335.1,PRJNA789167,SAMN24060681,na,na,170187,1313,Streptococcus pneumoniae TIGR4,strain=TIGR4,na,latest,Complete Genome,Major,Full,2022-06-30,ASM2408933v1,University of Lausanne,GCF_024089335.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/089/335/GCA_024089335.1_ASM2408933v1,na,na,na,haploid,bacteria,2153849,2153849,39.500000,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2021-12-22,2169,1944,73,na
GCA_040687945.1,PRJNA1103744,SAMN41056439,na,na,170187,1313,Streptococcus pneumoniae TIGR4,strain=TIGR4,na,latest,Complete Genome,Major,Full,2024-07-13,ASM4068794v1,University of Lausanne,GCF_040687945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/687/945/GCA_040687945.1_ASM4068794v1,na,na,na,haploid,bacteria,2153837,2153837,39.500000,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2024-05-07,2210,1967,73,na
GCA_000006785.2,PRJNA269,SAMN02604089,na,na,160490,1314,Streptococcus pyogenes M1 GAS,strain=SF370,na,latest,Complete Genome,Major,Full,2014-04-01,ASM678v2,Univ. Oklahoma,GCF_000006785.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/785/GCA_000006785.2_ASM678v2,na,na,na,haploid,bacteria,1852433,1852433,38.500000,1,1,1,Univ. Oklahoma,Annotation submitted by Univ. Oklahoma,2014-04-01,1801,1693,73,11296296;24733896
GCA_043231225.1,PRJNA1114622,SAMN41489057,na,na,160490,1314,Streptococcus pyogenes M1 GAS,strain=SF370,na,latest,Complete Genome,Major,Full,2024-10-16,ASM4323122v1,Max Planck Unit for the Science of Pathogens,GCF_043231225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/231/225/GCA_043231225.1_ASM4323122v1,na,na,na,haploid,bacteria,1853025,1853025,38.500000,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2024-07-08,1866,1715,89,na
GCA_000014205.1,PRJNA13942,SAMN02604299,na,na,388919,1305,Streptococcus sanguinis SK36,strain=SK36,na,latest,Complete Genome,Major,Full,2007-02-09,ASM1420v1,Virginia Commonwealth University,GCF_000014205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/205/GCA_000014205.1_ASM1420v1,na,na,na,haploid,bacteria,2388435,2388435,43.500000,1,1,1,Virginia Commonwealth University,Annotation submitted by Virginia Commonwealth University,2014-01-31,2348,2270,74,17277061
GCA_964248575.1,PRJEB45397,SAMEA9956662,CAXTYR000000000.1,na,388919,1305,Streptococcus sanguinis SK36,na,CC00132,latest,Scaffold,Major,Full,2024-08-29,CC00132,MONASH INSTITUTE OF MEDICAL RESEARCH - MONASH UNIVERSITY,GCF_964248575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/248/575/GCA_964248575.1_CC00132,na,na,na,haploid,bacteria,2467533,2467055,43.000000,0,7,12,na,na,,0,0,0,na
GCA_000014305.1,PRJNA17153,SAMN02603018,na,na,391295,1307,Streptococcus suis 05ZYH33,strain=05ZYH33,na,latest,Complete Genome,Major,Full,2007-04-24,ASM1430v1,"Beijing Institute of Genomics, Chinese Academy of Sciences,",GCF_000014305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/305/GCA_000014305.1_ASM1430v1,annotation fails completeness check; many frameshifted proteins,na,na,haploid,bacteria,2096309,2096309,41.000000,1,1,1,"Beijing Institute of Genomics, Chinese Academy of Sciences,","Annotation submitted by Beijing Institute of Genomics, Chinese Academy of Sciences,",2014-01-30,2254,2186,68,17375201
GCA_000011845.1,PRJNA13163,SAMN02603344,na,na,299768,1308,Streptococcus thermophilus CNRZ1066,strain=CNRZ1066,na,latest,Complete Genome,Major,Full,2004-11-15,ASM1184v1,"Institut National de la Recherche Agronomique, France",GCF_000011845.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/845/GCA_000011845.1_ASM1184v1,na,na,na,haploid,bacteria,1796226,1796226,39.000000,1,1,1,"Institut National de la Recherche Agronomique, France","Annotation submitted by Institut National de la Recherche Agronomique, France",2010-12-22,1915,1915,0,15543133
GCA_000009545.1,PRJNA353,SAMEA3138207,na,na,218495,1349,Streptococcus uberis 0140J,strain=0140J,na,latest,Complete Genome,Major,Full,2009-01-28,ASM954v1,Sanger Institute,GCF_000009545.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/545/GCA_000009545.1_ASM954v1,na,na,na,haploid,bacteria,1852352,1852352,36.500000,1,1,1,Sanger Institute,Annotation submitted by Sanger Institute,2015-02-28,1858,1762,24,na
GCA_000010605.1,PRJDA20085,SAMD00060929,na,na,455632,1911,Streptomyces griseus subsp. griseus NBRC 13350,strain=NBRC 13350,na,latest,Complete Genome,Major,Full,2008-04-08,ASM1060v1,The University of Tokyo,GCF_000010605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/605/GCA_000010605.1_ASM1060v1,na,na,na,haploid,bacteria,8545929,8545929,72.000000,1,1,1,The University of Tokyo,Annotation submitted by The University of Tokyo,2016-10-07,7224,7136,86,18310036;18364359;18375553
GCA_000091305.1,PRJEA40749,SAMEA2272773,na,reference genome,680198,1930,Streptomyces scabiei 87.22,strain=87.22,na,latest,Complete Genome,Major,Full,2009-10-06,ASM9130v1,Wellcome Trust Sanger Institute,GCF_000091305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/305/GCA_000091305.1_ASM9130v1,na,na,na,haploid,bacteria,10148695,10148695,71.500000,1,1,1,Wellcome Trust Sanger Institute,Annotation submitted by Wellcome Trust Sanger Institute,2015-03-01,8853,8746,38,20064060
GCA_000012285.1,PRJNA13935,SAMN02603173,na,reference genome,330779,2285,Sulfolobus acidocaldarius DSM 639,strain=DSM 639,na,latest,Complete Genome,Major,Full,2005-07-05,ASM1228v1,Danish Archaea Centre,GCF_000012285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/285/GCA_000012285.1_ASM1228v1,na,assembly from type material,na,haploid,archaea,2225959,2225959,36.500000,1,1,1,Danish Archaea Centre,Annotation submitted by Danish Archaea Centre,2014-01-30,2329,2223,81,15995215
GCA_028472365.1,PRJNA594306,SAMN13512241,na,na,330779,2285,Sulfolobus acidocaldarius DSM 639,strain=DSM 639,na,latest,Complete Genome,Major,Full,2023-02-06,ASM2847236v1,Wuhan Unverisity,GCF_028472365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/472/365/GCA_028472365.1_ASM2847236v1,na,assembly from type material,na,haploid,archaea,2225130,2225130,36.500000,1,1,1,NCBI,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2019-12-10,2347,2257,51,na
GCA_022984345.1,PRJNA770334,SAMN22213435,na,na,115747,32046,Synechococcus elongatus PCC 7943,strain=PCC 7943,na,latest,Chromosome,Major,Full,2022-04-14,ASM2298434v1,"University of California, San Diego",GCF_022984345.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/984/345/GCA_022984345.1_ASM2298434v1,na,na,na,haploid,bacteria,2743767,2743747,55.500000,3,3,4,"University of California, San Diego","Annotation submitted by University of California, San Diego",2022-04-14,2773,2721,45,na
GCA_000161795.2,PRJNA37911,SAMN02436260,na,na,166314,166314,Synechococcus sp. WH 8109,strain=WH 8109,na,latest,Complete Genome,Major,Full,2014-01-09,ASM16179v2,Gordon and Betty Moore Foundation Marine Microbiology Initiative,GCF_000161795.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/795/GCA_000161795.2_ASM16179v2,na,na,na,haploid,bacteria,2111515,2111515,60.000000,1,1,1,Gordon and Betty Moore Foundation Marine Microbiology Initiative,Annotation submitted by Gordon and Betty Moore Foundation Marine Microbiology Initiative,2014-01-09,2714,2644,53,na
GCA_001182765.1,PRJEB8389,SAMEA3233744,na,na,29410,29410,Synechococcus sp. WH 8103,na,WH 8103,latest,Complete Genome,Major,Full,2015-07-10,WH8103.1,STATION BIOLOGIQUE DE ROSCOFF (CNRS - UPMC) - UMR7144 - MAPP TEAM,GCF_001182765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/182/765/GCA_001182765.1_WH8103.1,unverified source organism,na,na,haploid,bacteria,2429688,2429688,59.500000,1,1,1,STATION BIOLOGIQUE DE ROSCOFF (CNRS - UPMC) - UMR7144 - MAPP TEAM,Annotation submitted by STATION BIOLOGIQUE DE ROSCOFF (CNRS - UPMC) - UMR7144 - MAPP TEAM,2015-07-10,2886,2821,52,na
GCA_004209775.1,PRJNA518918,SAMN10863495,na,na,59932,59932,Synechococcus sp. WH 8101,strain=WH 8101,na,latest,Complete Genome,Major,Full,2019-02-19,ASM420977v1,University of Delaware,GCF_004209775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/209/775/GCA_004209775.1_ASM420977v1,na,na,na,haploid,bacteria,2630292,2630292,63.500000,1,1,1,University of Delaware,Annotation submitted by University of Delaware,2019-02-19,2859,2808,51,na
GCA_014304795.1,PRJNA596899,SAMN13641356,na,na,59932,59932,Synechococcus sp. WH 8101,strain=WH 8101,na,latest,Complete Genome,Major,Full,2020-08-26,ASM1430479v1,Station Biologique de Roscoff (CNRS - Sorbonne University),GCF_014304795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/304/795/GCA_014304795.1_ASM1430479v1,na,na,na,haploid,bacteria,2623023,2623023,63.500000,1,1,1,Station Biologique de Roscoff (CNRS - Sorbonne University),Annotation submitted by Station Biologique de Roscoff (CNRS - Sorbonne University),2020-09-04,2941,2890,50,na
GCA_000009725.1,PRJNA60,SAMD00061113,na,na,1148,1148,Synechocystis sp. PCC 6803,strain=PCC 6803,na,latest,Complete Genome,Major,Full,2004-05-11,ASM972v1,Kazusa,GCF_000009725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/725/GCA_000009725.1_ASM972v1,na,na,na,haploid,bacteria,3947019,3947019,47.500000,5,5,5,Kazusa,Annotation submitted by Kazusa,2016-10-07,3426,3419,7,8590279;8905231;14686584
GCA_000270265.1,PRJDA67081,SAMD00060991,na,na,1148,1148,Synechocystis sp. PCC 6803,strain=GT-S,na,latest,Complete Genome,Major,Full,2011-07-01,ASM27026v1,"Graduate School of Arts and Sciences, University of Tokyo",GCF_000270265.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/265/GCA_000270265.1_ASM27026v1,na,na,na,haploid,bacteria,3571103,3571103,47.500000,1,1,1,"Graduate School of Arts and Sciences, University of Tokyo","Annotation submitted by Graduate School of Arts and Sciences, University of Tokyo",2016-10-07,3220,3171,49,8905231;21803841
